,College
College of Liberal Arts and Sciences,25
College of Engineering,21
College of Agriculture and Life Sciences,10
College of Veterinary Medicine,8
College of Human Sciences,5
N.A.,4
Ivy College of Business,2
College of Liberal Arts and Sciences/College of Agriculture and Life Sciences,1
