Date,Open,High,Low,Close,Adj Close,Volume
2021-09-06,452.709991,452.809998,445.309998,445.440002,439.195557,255772000
2021-09-13,448.640015,448.920013,441.019989,441.399994,435.212158,436939600
2021-09-20,434.880005,444.890015,428.859985,443.910004,439.089203,499812500
2021-09-27,442.809998,444.049988,427.230011,434.239990,429.524200,543882700
2021-10-04,433.000000,441.679993,426.359985,437.859985,433.104889,479279600
2021-10-11,437.160004,446.260010,431.540009,445.869995,441.027893,345885500
2021-10-18,443.970001,454.670013,443.269989,453.119995,448.199158,258932100
2021-10-25,454.279999,459.559998,452.390015,459.250000,454.262604,295327900
2021-11-01,460.299988,470.649994,458.200012,468.529999,463.441803,269089500
2021-11-08,469.700012,470.230011,462.040009,467.269989,462.195465,259299200
2021-11-15,468.640015,470.940002,466.230011,468.890015,463.797913,251637500
2021-11-22,470.890015,473.540009,457.769989,458.970001,453.985657,320496900
2021-11-29,464.070007,466.559998,448.920013,453.420013,448.495911,631737000
2021-12-06,456.130005,470.899994,453.559998,470.739990,465.627808,405133400
2021-12-13,470.190002,472.869995,458.059998,459.869995,454.875854,553968300
2021-12-20,454.480011,472.190002,451.140015,470.600006,467.124695,292271000
2021-12-27,472.059998,479.000000,472.010010,474.959991,471.452515,279152600
2022-01-03,476.299988,479.980011,464.649994,466.089996,462.648010,420356300
2022-01-10,462.700012,473.200012,456.600006,464.720001,461.288116,448334500
2022-01-17,459.739990,459.959991,437.950012,437.980011,434.745636,543717600
2022-01-24,432.029999,444.040009,420.760010,441.950012,438.686310,920508000
2022-01-31,441.239990,458.119995,439.809998,448.700012,445.386444,629246600
2022-02-07,449.510010,457.880005,438.940002,440.459991,437.207275,551393100
2022-02-14,439.920013,448.059998,431.820007,434.230011,431.023285,531254600
2022-02-21,431.890015,437.839996,410.640015,437.750000,434.517303,592717200
2022-02-28,432.029999,441.109985,427.109985,432.170013,428.978516,620607300
2022-03-07,431.549988,432.299988,415.119995,420.070007,416.967865,609269100
2022-03-14,420.890015,444.859985,415.790009,444.519989,441.237305,555925500
2022-03-21,444.339996,452.980011,440.679993,452.690002,450.742920,384264500
2022-03-28,452.059998,462.070007,449.140015,452.920013,450.971954,445526900
2022-04-04,453.130005,457.829987,443.470001,447.570007,445.644958,398083400
2022-04-11,444.109985,445.750000,436.649994,437.790009,435.907013,346074000
2022-04-18,436.809998,450.010010,425.440002,426.040009,424.207550,426937000
2022-04-25,423.670013,429.640015,411.209991,412.000000,410.227936,596614200
2022-05-02,412.070007,429.660004,405.019989,411.339996,409.570770,727288500
2022-05-09,405.100006,406.410004,385.149994,401.720001,399.992157,659709500
2022-05-16,399.980011,408.570007,380.540009,389.630005,387.954163,509269500
2022-05-23,392.829987,415.380005,386.959991,415.260010,413.473907,426273600
2022-05-30,413.549988,417.440002,406.929993,410.540009,408.774231,334006700
2022-06-06,414.779999,416.609985,389.750000,389.799988,388.123413,400315000
2022-06-13,379.850006,383.899994,362.170013,365.859985,364.286377,645270700
2022-06-20,371.890015,390.089996,370.179993,390.079987,390.079987,344213700
2022-06-27,391.049988,393.160004,372.559998,381.239990,381.239990,405582500
2022-07-04,375.880005,390.640015,372.899994,388.670013,388.670013,288787900
2022-07-11,385.850006,386.869995,371.040009,385.130005,385.130005,373575900
2022-07-18,388.380005,400.179993,380.660004,395.089996,395.089996,350654600
2022-07-25,395.750000,413.029999,389.950012,411.989990,411.989990,349890300
2022-08-01,409.149994,415.679993,406.820007,413.470001,413.470001,303725000
2022-08-08,415.250000,427.209991,410.220001,427.100006,427.100006,288667800
2022-08-15,424.769989,431.730011,421.220001,422.140015,422.140015,293940800
2022-08-22,417.049988,419.959991,405.250000,405.309998,405.309998,330007900
2022-08-29,402.200012,405.839996,390.040009,392.239990,392.239990,405367100
2022-09-02,400.279999,401.554993,390.329987,392.239990,392.239990,99632149
