Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,250.943329,253.679993,249.203339,253.163330,253.163330,126382800
2021-09-20,244.853333,258.266663,239.539993,258.130005,258.130005,268605600
2021-09-27,257.706665,266.333344,254.529999,258.406677,258.406677,328147200
2021-10-04,265.500000,268.989990,257.739990,261.829987,261.829987,298449300
2021-10-11,262.549988,281.070007,261.833344,281.010010,281.010010,244536600
2021-10-18,283.929993,303.333344,283.823334,303.226654,303.226654,329948100
2021-10-25,316.843323,371.736664,314.733337,371.333344,371.333344,662775600
2021-11-01,381.666656,414.496674,372.886658,407.363342,407.363342,541323600
2021-11-08,383.263336,399.000000,329.103333,344.473328,344.473328,549971700
2021-11-15,339.209991,379.573334,326.200012,379.019989,379.019989,405913800
2021-11-22,387.443329,400.649994,354.000000,360.640015,360.640015,310455900
2021-11-29,366.996674,390.946655,333.403320,338.323334,338.323334,373556700
2021-12-06,333.836670,357.459991,316.833344,339.010010,339.010010,298756800
2021-12-13,333.696655,335.000000,303.013336,310.856659,310.856659,407779800
2021-12-20,303.566681,357.660004,295.373322,355.666656,355.666656,314345400
2021-12-27,357.890015,373.000000,351.049988,352.260010,352.260010,275398500
2022-01-03,382.583344,402.666656,336.666656,342.320007,342.320007,458800800
2022-01-10,333.333344,371.866669,326.666656,349.869995,349.869995,411751500
2022-01-17,342.203339,356.929993,313.500000,314.633331,314.633331,316090500
2022-01-24,301.586670,329.230011,264.003326,282.116669,282.116669,624927600
2022-01-31,290.903320,314.566681,287.350006,307.773346,307.773346,396848100
2022-02-07,307.929993,315.923340,283.566681,286.666656,286.666656,309755700
2022-02-14,287.190002,308.809998,279.203339,285.660004,285.660004,300017100
2022-02-21,278.043335,285.576660,233.333328,269.956665,269.956665,389934900
2022-02-28,271.670013,296.626678,271.570007,279.429993,279.429993,377040300
2022-03-07,285.433319,288.713318,260.723328,265.116669,265.116669,337762800
2022-03-14,260.203339,302.616669,252.013336,301.796661,301.796661,389019300
2022-03-21,304.993347,346.899994,302.363342,336.880005,336.880005,439478700
2022-03-28,355.033325,371.589996,351.200012,361.529999,361.529999,339241800
2022-04-04,363.126678,384.290009,340.513336,341.829987,341.829987,385920300
2022-04-11,326.799988,342.079987,324.366669,328.333344,328.333344,238876500
2022-04-18,329.676666,364.073334,324.470001,335.016663,335.016663,347387100
2022-04-25,326.323334,336.206665,273.899994,290.253326,290.253326,494512800
2022-05-02,286.923340,318.500000,281.036682,288.549988,288.549988,386556900
2022-05-09,278.816681,281.876678,226.666672,256.529999,256.529999,504900300
2022-05-16,255.720001,256.586670,211.000000,221.300003,221.300003,489416400
2022-05-23,218.339996,253.266663,206.856674,253.210007,253.210007,465433500
2022-05-30,257.946655,264.209991,233.416672,234.516663,234.516663,385029300
2022-06-06,244.353333,255.546661,227.913330,232.229996,232.229996,427251600
2022-06-13,223.166672,235.663330,208.693329,216.759995,216.759995,519920400
2022-06-20,224.603333,246.833328,224.333328,245.706665,245.706665,423873900
2022-06-27,249.366669,252.070007,218.863327,227.263336,227.263336,431527500
2022-07-04,223.000000,254.979996,216.166672,250.763336,250.763336,340219500
2022-07-11,252.103333,253.063339,225.033340,240.066666,240.066666,433367100
2022-07-18,244.936661,280.786682,236.976669,272.243347,272.243347,497796900
2022-07-25,272.216675,298.320007,256.263336,297.149994,297.149994,399040200
2022-08-01,301.276672,313.606659,285.543335,288.170013,288.170013,478140600
2022-08-08,295.000000,305.200012,279.353333,300.029999,300.029999,429969600
2022-08-15,301.786682,314.666656,292.500000,296.666656,296.666656,355157400
2022-08-22,291.913330,303.646667,286.296661,288.089996,288.089996,287481800
2022-08-29,282.829987,288.480011,266.149994,270.209991,270.209991,249553000
2022-09-05,272.679993,299.850006,265.739990,299.679993,299.679993,213940100
2022-09-12,300.720001,309.119995,290.399994,303.750000,303.750000,254146800
2022-09-16,299.605011,300.600006,296.170013,296.670013,296.670013,12018166
